,loss,accuracy,val_loss,val_accuracy
0,0.39957502484321594,0.8746874928474426,1.2860809564590454,0.7080833315849304
1,0.08102967590093613,0.9815208315849304,0.0863267034292221,0.9810000061988831
2,0.06408949941396713,0.9860416650772095,0.06360677629709244,0.9860833287239075
3,0.046372778713703156,0.9893958568572998,0.047399669885635376,0.9900833368301392
4,0.039792224764823914,0.9908958077430725,0.05428865924477577,0.9896666407585144
5,0.030909119173884392,0.9928958415985107,0.07107951492071152,0.9825833439826965
6,0.035543955862522125,0.9915208220481873,0.046209655702114105,0.9909999966621399
7,0.030326612293720245,0.9932500123977661,0.05960731580853462,0.9892500042915344
8,0.027884136885404587,0.9937291741371155,0.04853672906756401,0.9908333420753479
9,0.02597692422568798,0.9940833449363708,0.05254758149385452,0.9917500019073486
